First_AP,Last_AP,Polid_AP,Name_Fec,FEC_ID,Full_ Name_reference
Hillary,Clinton,1746,"CLINTON, HILLARY RODHAM",P00003392,Hillary Rodham Clinton
Bernie,Sanders,1445,"SANDERS, BERNARD",P60007168,Bernard Sanders
Martin,O'Malley,22603,"O'MALLEY, MARTIN JOSEPH",P60007671,Martin Joseph O'Malley
Ted,Cruz,61815,"CRUZ, RAFAEL EDWARD ""TED""",P60006111,Rafael Edward Cruz
Donald,Trump,8639,"TRUMP, DONALD J",P80001571,Donald John Trump
Marco,Rubio,53044,RUBIO MARCO P,P60006723,Marco Antonio Rubio
Ben,Carson,64509,"CARSON, BENJAMIN S SR MD",P60005915,"Benjamin Solomon Carson, Sr."
Rand,Paul,60208,"PAUL, RAND",P40003576,Randal Howard Paul
Jeb,Bush,1239,"BUSH, JEB",P60008059,John Ellis Bush
Carly,Fiorina,60339,"FIORINA, CARLY",P60007242,Cara Carleton Fiona
John,Kasich,36679,"KASICH, JOHN R",P60003670,John Richard Kasich
Mike,Huckabee,1187,"HUCKABEE, MIKE",P80003478,Michael Dale Huckabee
Chris,Christie,60051,"CHRISTIE, CHRISTOPHER J",P60008521,Christopher James Christie
Rick,Santorum,1752,"SANTORUM, RICHARD J",P20002721,Richard John Santorum
Jim,Gilmore,45650,"GILMORE, JAMES S III",P80003379,James Stuart Gilmore III
